,quant_size,number_of_bins,std_threshold,method,number_of_sims
0,0.4,23,0.6,mse_from_naive_method,0
1,0.4,23,0.6,mse_from_naive_method,1
2,0.4,23,0.6,mse_from_naive_method,2
3,0.4,23,0.6,mse_from_naive_method,3
4,0.4,23,0.6,mse_from_naive_method,4
5,0.4,23,0.6,mse_from_naive_method,5
6,0.4,23,0.6,mse_from_naive_method,6
7,0.4,23,0.6,mse_from_naive_method,7
8,0.4,23,0.6,mse_from_naive_method,8
9,0.4,23,0.6,mse_from_naive_method,9
10,0.4,23,0.6,mse_from_naive_method,10
11,0.4,23,0.6,mse_from_naive_method,11
12,0.4,23,0.6,mse_from_naive_method,12
13,0.4,23,0.6,mse_from_naive_method,13
14,0.4,23,0.6,mse_from_naive_method,14
15,0.4,23,0.6,mse_from_naive_method,15
16,0.4,23,0.6,mse_from_naive_method,16
17,0.4,23,0.6,mse_from_naive_method,17
18,0.4,23,0.6,mse_from_naive_method,18
19,0.4,23,0.6,mse_from_naive_method,19
20,0.4,23,0.6,mse_from_modulo_method,0
21,0.4,23,0.6,mse_from_modulo_method,1
22,0.4,23,0.6,mse_from_modulo_method,2
23,0.4,23,0.6,mse_from_modulo_method,3
24,0.4,23,0.6,mse_from_modulo_method,4
25,0.4,23,0.6,mse_from_modulo_method,5
26,0.4,23,0.6,mse_from_modulo_method,6
27,0.4,23,0.6,mse_from_modulo_method,7
28,0.4,23,0.6,mse_from_modulo_method,8
29,0.4,23,0.6,mse_from_modulo_method,9
30,0.4,23,0.6,mse_from_modulo_method,10
31,0.4,23,0.6,mse_from_modulo_method,11
32,0.4,23,0.6,mse_from_modulo_method,12
33,0.4,23,0.6,mse_from_modulo_method,13
34,0.4,23,0.6,mse_from_modulo_method,14
35,0.4,23,0.6,mse_from_modulo_method,15
36,0.4,23,0.6,mse_from_modulo_method,16
37,0.4,23,0.6,mse_from_modulo_method,17
38,0.4,23,0.6,mse_from_modulo_method,18
39,0.4,23,0.6,mse_from_modulo_method,19
40,0.4,23,0.7263157894736842,mse_from_naive_method,0
41,0.4,23,0.7263157894736842,mse_from_naive_method,1
42,0.4,23,0.7263157894736842,mse_from_naive_method,2
43,0.4,23,0.7263157894736842,mse_from_naive_method,3
44,0.4,23,0.7263157894736842,mse_from_naive_method,4
45,0.4,23,0.7263157894736842,mse_from_naive_method,5
46,0.4,23,0.7263157894736842,mse_from_naive_method,6
47,0.4,23,0.7263157894736842,mse_from_naive_method,7
48,0.4,23,0.7263157894736842,mse_from_naive_method,8
49,0.4,23,0.7263157894736842,mse_from_naive_method,9
50,0.4,23,0.7263157894736842,mse_from_naive_method,10
51,0.4,23,0.7263157894736842,mse_from_naive_method,11
52,0.4,23,0.7263157894736842,mse_from_naive_method,12
53,0.4,23,0.7263157894736842,mse_from_naive_method,13
54,0.4,23,0.7263157894736842,mse_from_naive_method,14
55,0.4,23,0.7263157894736842,mse_from_naive_method,15
56,0.4,23,0.7263157894736842,mse_from_naive_method,16
57,0.4,23,0.7263157894736842,mse_from_naive_method,17
58,0.4,23,0.7263157894736842,mse_from_naive_method,18
59,0.4,23,0.7263157894736842,mse_from_naive_method,19
60,0.4,23,0.7263157894736842,mse_from_modulo_method,0
61,0.4,23,0.7263157894736842,mse_from_modulo_method,1
62,0.4,23,0.7263157894736842,mse_from_modulo_method,2
63,0.4,23,0.7263157894736842,mse_from_modulo_method,3
64,0.4,23,0.7263157894736842,mse_from_modulo_method,4
65,0.4,23,0.7263157894736842,mse_from_modulo_method,5
66,0.4,23,0.7263157894736842,mse_from_modulo_method,6
67,0.4,23,0.7263157894736842,mse_from_modulo_method,7
68,0.4,23,0.7263157894736842,mse_from_modulo_method,8
69,0.4,23,0.7263157894736842,mse_from_modulo_method,9
70,0.4,23,0.7263157894736842,mse_from_modulo_method,10
71,0.4,23,0.7263157894736842,mse_from_modulo_method,11
72,0.4,23,0.7263157894736842,mse_from_modulo_method,12
73,0.4,23,0.7263157894736842,mse_from_modulo_method,13
74,0.4,23,0.7263157894736842,mse_from_modulo_method,14
75,0.4,23,0.7263157894736842,mse_from_modulo_method,15
76,0.4,23,0.7263157894736842,mse_from_modulo_method,16
77,0.4,23,0.7263157894736842,mse_from_modulo_method,17
78,0.4,23,0.7263157894736842,mse_from_modulo_method,18
79,0.4,23,0.7263157894736842,mse_from_modulo_method,19
80,0.4,23,0.8526315789473684,mse_from_naive_method,0
81,0.4,23,0.8526315789473684,mse_from_naive_method,1
82,0.4,23,0.8526315789473684,mse_from_naive_method,2
83,0.4,23,0.8526315789473684,mse_from_naive_method,3
84,0.4,23,0.8526315789473684,mse_from_naive_method,4
85,0.4,23,0.8526315789473684,mse_from_naive_method,5
86,0.4,23,0.8526315789473684,mse_from_naive_method,6
87,0.4,23,0.8526315789473684,mse_from_naive_method,7
88,0.4,23,0.8526315789473684,mse_from_naive_method,8
89,0.4,23,0.8526315789473684,mse_from_naive_method,9
90,0.4,23,0.8526315789473684,mse_from_naive_method,10
91,0.4,23,0.8526315789473684,mse_from_naive_method,11
92,0.4,23,0.8526315789473684,mse_from_naive_method,12
93,0.4,23,0.8526315789473684,mse_from_naive_method,13
94,0.4,23,0.8526315789473684,mse_from_naive_method,14
95,0.4,23,0.8526315789473684,mse_from_naive_method,15
96,0.4,23,0.8526315789473684,mse_from_naive_method,16
97,0.4,23,0.8526315789473684,mse_from_naive_method,17
98,0.4,23,0.8526315789473684,mse_from_naive_method,18
99,0.4,23,0.8526315789473684,mse_from_naive_method,19
100,0.4,23,0.8526315789473684,mse_from_modulo_method,0
101,0.4,23,0.8526315789473684,mse_from_modulo_method,1
102,0.4,23,0.8526315789473684,mse_from_modulo_method,2
103,0.4,23,0.8526315789473684,mse_from_modulo_method,3
104,0.4,23,0.8526315789473684,mse_from_modulo_method,4
105,0.4,23,0.8526315789473684,mse_from_modulo_method,5
106,0.4,23,0.8526315789473684,mse_from_modulo_method,6
107,0.4,23,0.8526315789473684,mse_from_modulo_method,7
108,0.4,23,0.8526315789473684,mse_from_modulo_method,8
109,0.4,23,0.8526315789473684,mse_from_modulo_method,9
110,0.4,23,0.8526315789473684,mse_from_modulo_method,10
111,0.4,23,0.8526315789473684,mse_from_modulo_method,11
112,0.4,23,0.8526315789473684,mse_from_modulo_method,12
113,0.4,23,0.8526315789473684,mse_from_modulo_method,13
114,0.4,23,0.8526315789473684,mse_from_modulo_method,14
115,0.4,23,0.8526315789473684,mse_from_modulo_method,15
116,0.4,23,0.8526315789473684,mse_from_modulo_method,16
117,0.4,23,0.8526315789473684,mse_from_modulo_method,17
118,0.4,23,0.8526315789473684,mse_from_modulo_method,18
119,0.4,23,0.8526315789473684,mse_from_modulo_method,19
120,0.4,23,0.9789473684210526,mse_from_naive_method,0
121,0.4,23,0.9789473684210526,mse_from_naive_method,1
122,0.4,23,0.9789473684210526,mse_from_naive_method,2
123,0.4,23,0.9789473684210526,mse_from_naive_method,3
124,0.4,23,0.9789473684210526,mse_from_naive_method,4
125,0.4,23,0.9789473684210526,mse_from_naive_method,5
126,0.4,23,0.9789473684210526,mse_from_naive_method,6
127,0.4,23,0.9789473684210526,mse_from_naive_method,7
128,0.4,23,0.9789473684210526,mse_from_naive_method,8
129,0.4,23,0.9789473684210526,mse_from_naive_method,9
130,0.4,23,0.9789473684210526,mse_from_naive_method,10
131,0.4,23,0.9789473684210526,mse_from_naive_method,11
132,0.4,23,0.9789473684210526,mse_from_naive_method,12
133,0.4,23,0.9789473684210526,mse_from_naive_method,13
134,0.4,23,0.9789473684210526,mse_from_naive_method,14
135,0.4,23,0.9789473684210526,mse_from_naive_method,15
136,0.4,23,0.9789473684210526,mse_from_naive_method,16
137,0.4,23,0.9789473684210526,mse_from_naive_method,17
138,0.4,23,0.9789473684210526,mse_from_naive_method,18
139,0.4,23,0.9789473684210526,mse_from_naive_method,19
140,0.4,23,0.9789473684210526,mse_from_modulo_method,0
141,0.4,23,0.9789473684210526,mse_from_modulo_method,1
142,0.4,23,0.9789473684210526,mse_from_modulo_method,2
143,0.4,23,0.9789473684210526,mse_from_modulo_method,3
144,0.4,23,0.9789473684210526,mse_from_modulo_method,4
145,0.4,23,0.9789473684210526,mse_from_modulo_method,5
146,0.4,23,0.9789473684210526,mse_from_modulo_method,6
147,0.4,23,0.9789473684210526,mse_from_modulo_method,7
148,0.4,23,0.9789473684210526,mse_from_modulo_method,8
149,0.4,23,0.9789473684210526,mse_from_modulo_method,9
150,0.4,23,0.9789473684210526,mse_from_modulo_method,10
151,0.4,23,0.9789473684210526,mse_from_modulo_method,11
152,0.4,23,0.9789473684210526,mse_from_modulo_method,12
153,0.4,23,0.9789473684210526,mse_from_modulo_method,13
154,0.4,23,0.9789473684210526,mse_from_modulo_method,14
155,0.4,23,0.9789473684210526,mse_from_modulo_method,15
156,0.4,23,0.9789473684210526,mse_from_modulo_method,16
157,0.4,23,0.9789473684210526,mse_from_modulo_method,17
158,0.4,23,0.9789473684210526,mse_from_modulo_method,18
159,0.4,23,0.9789473684210526,mse_from_modulo_method,19
160,0.4,23,1.1052631578947367,mse_from_naive_method,0
161,0.4,23,1.1052631578947367,mse_from_naive_method,1
162,0.4,23,1.1052631578947367,mse_from_naive_method,2
163,0.4,23,1.1052631578947367,mse_from_naive_method,3
164,0.4,23,1.1052631578947367,mse_from_naive_method,4
165,0.4,23,1.1052631578947367,mse_from_naive_method,5
166,0.4,23,1.1052631578947367,mse_from_naive_method,6
167,0.4,23,1.1052631578947367,mse_from_naive_method,7
168,0.4,23,1.1052631578947367,mse_from_naive_method,8
169,0.4,23,1.1052631578947367,mse_from_naive_method,9
170,0.4,23,1.1052631578947367,mse_from_naive_method,10
171,0.4,23,1.1052631578947367,mse_from_naive_method,11
172,0.4,23,1.1052631578947367,mse_from_naive_method,12
173,0.4,23,1.1052631578947367,mse_from_naive_method,13
174,0.4,23,1.1052631578947367,mse_from_naive_method,14
175,0.4,23,1.1052631578947367,mse_from_naive_method,15
176,0.4,23,1.1052631578947367,mse_from_naive_method,16
177,0.4,23,1.1052631578947367,mse_from_naive_method,17
178,0.4,23,1.1052631578947367,mse_from_naive_method,18
179,0.4,23,1.1052631578947367,mse_from_naive_method,19
180,0.4,23,1.1052631578947367,mse_from_modulo_method,0
181,0.4,23,1.1052631578947367,mse_from_modulo_method,1
182,0.4,23,1.1052631578947367,mse_from_modulo_method,2
183,0.4,23,1.1052631578947367,mse_from_modulo_method,3
184,0.4,23,1.1052631578947367,mse_from_modulo_method,4
185,0.4,23,1.1052631578947367,mse_from_modulo_method,5
186,0.4,23,1.1052631578947367,mse_from_modulo_method,6
187,0.4,23,1.1052631578947367,mse_from_modulo_method,7
188,0.4,23,1.1052631578947367,mse_from_modulo_method,8
189,0.4,23,1.1052631578947367,mse_from_modulo_method,9
190,0.4,23,1.1052631578947367,mse_from_modulo_method,10
191,0.4,23,1.1052631578947367,mse_from_modulo_method,11
192,0.4,23,1.1052631578947367,mse_from_modulo_method,12
193,0.4,23,1.1052631578947367,mse_from_modulo_method,13
194,0.4,23,1.1052631578947367,mse_from_modulo_method,14
195,0.4,23,1.1052631578947367,mse_from_modulo_method,15
196,0.4,23,1.1052631578947367,mse_from_modulo_method,16
197,0.4,23,1.1052631578947367,mse_from_modulo_method,17
198,0.4,23,1.1052631578947367,mse_from_modulo_method,18
199,0.4,23,1.1052631578947367,mse_from_modulo_method,19
200,0.4,23,1.2315789473684209,mse_from_naive_method,0
201,0.4,23,1.2315789473684209,mse_from_naive_method,1
202,0.4,23,1.2315789473684209,mse_from_naive_method,2
203,0.4,23,1.2315789473684209,mse_from_naive_method,3
204,0.4,23,1.2315789473684209,mse_from_naive_method,4
205,0.4,23,1.2315789473684209,mse_from_naive_method,5
206,0.4,23,1.2315789473684209,mse_from_naive_method,6
207,0.4,23,1.2315789473684209,mse_from_naive_method,7
208,0.4,23,1.2315789473684209,mse_from_naive_method,8
209,0.4,23,1.2315789473684209,mse_from_naive_method,9
210,0.4,23,1.2315789473684209,mse_from_naive_method,10
211,0.4,23,1.2315789473684209,mse_from_naive_method,11
212,0.4,23,1.2315789473684209,mse_from_naive_method,12
213,0.4,23,1.2315789473684209,mse_from_naive_method,13
214,0.4,23,1.2315789473684209,mse_from_naive_method,14
215,0.4,23,1.2315789473684209,mse_from_naive_method,15
216,0.4,23,1.2315789473684209,mse_from_naive_method,16
217,0.4,23,1.2315789473684209,mse_from_naive_method,17
218,0.4,23,1.2315789473684209,mse_from_naive_method,18
219,0.4,23,1.2315789473684209,mse_from_naive_method,19
220,0.4,23,1.2315789473684209,mse_from_modulo_method,0
221,0.4,23,1.2315789473684209,mse_from_modulo_method,1
222,0.4,23,1.2315789473684209,mse_from_modulo_method,2
223,0.4,23,1.2315789473684209,mse_from_modulo_method,3
224,0.4,23,1.2315789473684209,mse_from_modulo_method,4
225,0.4,23,1.2315789473684209,mse_from_modulo_method,5
226,0.4,23,1.2315789473684209,mse_from_modulo_method,6
227,0.4,23,1.2315789473684209,mse_from_modulo_method,7
228,0.4,23,1.2315789473684209,mse_from_modulo_method,8
