,alpha,capacity,capacity_normalized,conditional_var,cov,dither_on,dither_size,error_bias,mse,mse_from_big_errors,normalized_mse,number_of_big_errors,number_of_samples,recovered_x_before_alpha_var,sim_id,snr,snr_normalized,x_mod,x_quantizer_bin_size,x_quantizer_modulo_edge_to_edge,x_quantizer_number_of_quants,x_samples_var,x_var,y_mod,y_quantizer_bin_size,y_quantizer_modulo_edge_to_edge,y_quantizer_number_of_quants,y_var
0,0.921557002,3.328404892,0.929411883,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000126903,1.105583848,0.005466386,1.105583848,8221,50000000,10.85426807,0,9.044994656,0.904499466,5.5,2.75,5.5,2,10.00282674,10,1000,0.5,1000,2000,10
0,0.897364444,3.217245744,0.871851286,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-0.000109059,1.204805215,0.005736316,1.204805215,8640,50000000,11.14566895,1,8.300096876,0.830009688,5.5,2.75,5.5,2,10.00172702,10,2000,1,2000,2000,10
0,0.959608204,3.820456303,1.209622775,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.004282441,0.761747153,0.256149054,0.761747153,546774,50000000,10.42192019,10,13.12771562,1.312771562,5.5,1.833333333,5.5,3,10.00096012,10,3000,1.5,3000,2000,10
0,0.94823581,3.858844331,1.233193515,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-8.12E-05,0.740264796,0.351294803,0.740264796,641597,50000000,10.54357757,100,13.50867967,1.350867967,5.5,0.392857143,5.5,14,9.997797817,10,5000,2.5,5000,2000,10
0,0.992957877,6.103902135,2.959385903,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,0.000146422,0.147537711,0.070090755,0.147537711,106079,50000000,10.07129952,1000,67.77928125,6.777928125,5.8,0.305263158,5.8,19,10.00037619,10,1000,0.5,1000,2000,10
0,0.993339927,7.217496667,3.980276084,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,4.93E-05,0.067646443,0.000682027,0.067646443,453,50000000,10.06845375,10000,147.8274328,14.78274328,8.95,0.895,8.95,10,10.00139711,10,1000,0.5,1000,2000,10
0,0.993301412,7.203055171,3.966662003,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,4.32E-05,0.06833164,0.00102231,0.06833164,679,50000000,10.0682288,10001,146.3450895,14.63450895,8.95,0.895,8.95,10,10.00078588,10,2000,1,2000,2000,10
0,0.993018746,7.139295194,3.906649808,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,5.16E-05,0.071441346,0.002580703,0.071441346,1713,50000000,10.06778438,10002,139.9749669,13.99749669,8.95,0.895,8.95,10,9.997498619,10,3000,1.5,3000,2000,10
0,0.992829588,7.090055064,3.860412456,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,2.60E-05,0.073940115,0.003780026,0.073940115,2505,50000000,10.07336954,10003,135.2445833,13.52445833,8.95,0.895,8.95,10,10.00113933,10,4000,2,4000,2000,10
0,0.992917069,7.015389671,3.790487682,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,4.41E-05,0.077898168,0.005872128,0.077898168,3880,50000000,10.07655654,10004,128.372724,12.8372724,8.95,0.895,8.95,10,10.00518499,10,5000,2.5,5000,2000,10
0,0.991884884,6.718260307,3.514660157,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-1.73E-06,0.095884075,0.014955968,0.095884075,9888,50000000,10.07603928,10005,104.2926051,10.42926051,8.95,0.895,8.95,10,9.994271056,10,6000,3,6000,2000,10
0,0.985254165,5.91671116,2.795139768,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-5.48E-05,0.168322344,0.050598957,0.168322344,33763,50000000,10.14765596,10006,59.40981904,5.940981904,8.95,0.895,8.95,10,9.998020299,10,8000,4,8000,2000,10
0,0.975540617,4.747193561,1.842230301,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-5.25E-05,0.386751572,0.158638113,0.386751572,106720,50000000,10.24967035,10007,25.85639136,2.585639136,8.95,0.895,8.95,10,9.998969734,10,10000,5,10000,2000,10
0,0.994438659,7.486994819,4.23568777,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-2.86E-06,0.056055424,0.000549923,0.056055424,361,50000000,10.06072763,10008,178.3948692,17.83948692,8.95,0.813636364,8.95,11,10.00477649,10,1000,0.5,1000,2000,10
0,0.994390197,7.462434576,4.212310377,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,3.24E-05,0.057023361,0.001086591,0.057023361,715,50000000,10.05878022,10009,175.366724,17.5366724,8.95,0.813636364,8.95,11,10.00235244,10,2000,1,2000,2000,10
0,0.991293372,5.787520463,2.683367887,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,1.45E-05,0.184381524,0.08799891,0.184381524,133489,50000000,10.08919211,1001,54.23536903,5.423536903,5.8,0.305263158,5.8,19,10.00134927,10,2000,1,2000,2000,10
0,0.994317651,7.427466454,4.179059762,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-5.60E-05,0.058430557,0.001729612,0.058430557,1136,50000000,10.05713024,10010,171.1433279,17.11433279,8.95,0.813636364,8.95,11,9.999982116,10,3000,1.5,3000,2000,10
0,0.99396487,7.3290778,4.085721185,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,1.67E-05,0.062580222,0.003888594,0.062580222,2556,50000000,10.06020559,10011,159.7948957,15.97948957,8.95,0.813636364,8.95,11,9.999490937,10,4000,2,4000,2000,10
0,0.992483395,6.934542657,3.715039113,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-6.92E-05,0.082425134,0.013753791,0.082425134,9040,50000000,10.0717051,10012,121.3222176,12.13222176,8.95,0.813636364,8.95,11,9.996000071,10,5000,2.5,5000,2000,10
0,0.991290754,6.720858042,3.517053503,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,8.63E-05,0.09570993,0.020453339,0.09570993,13452,50000000,10.0854812,10013,104.4823672,10.44823672,8.95,0.813636364,8.95,11,9.997644271,10,6000,3,6000,2000,10
0,0.994281313,6.445060864,3.264953403,1,"[[ 10.    9.5]
 [  9.5  10. ]]",0,0,-1.88E-05,0.116106558,0.030583783,0.116106558,19899,50000000,10.05693576,10014,86.12777911,8.612777911,8.95,0.813636364,8.95,11,9.999423294,10,8000,4,8000,2000,10
